User_ID,Gender,Age,Age_Group,Country,City,Device,Operating_System,Browser,Customer_Segment,Acquisition_Channel,Preferred_Category,Subscription_Type,Loyalty_Level,Loyalty_Score,Lifetime_Value
U000001,Male,56,55+,Canada,Vancouver,Mobile,Windows,Firefox,Returning,Instagram,Electronics,Premium,Platinum,87,6625.94
U000002,Male,42,35-44,United States,Los Angeles,Tablet,Windows,Firefox,Premium,Referral,Sports,Premium,Silver,15,653.82
U000003,Male,18,18-24,Germany,Frankfurt,Desktop,macOS,Chrome,Premium,Organic Search,Accessories,Premium,Gold,28,2121.51
U000004,Male,40,35-44,India,Mumbai,Desktop,iOS,Chrome,New,YouTube,Accessories,Free,Bronze,45,3328.24
U000005,Female,51,45-54,Australia,Melbourne,Mobile,Android,Firefox,Returning,Referral,Toys,Premium,Gold,53,1686.0
U000006,Male,41,35-44,Canada,Vancouver,Desktop,macOS,Edge,Returning,Instagram,Toys,Free,Gold,69,4804.81
U000007,Male,63,55+,United States,New York,Desktop,macOS,Firefox,New,Direct,Beauty,Premium,Gold,25,1016.74
U000008,Male,25,25-34,Canada,Calgary,Desktop,macOS,Safari,Returning,Paid Search,Fashion,Free,Silver,71,3710.19
U000009,Male,27,25-34,United Kingdom,London,Tablet,iOS,Safari,At Risk,Organic Search,Toys,Premium,Gold,99,6201.76
U000010,Male,36,35-44,Canada,Toronto,Tablet,Android,Edge,Premium,Paid Search,Sports,Free,Platinum,98,4762.05
U000011,Male,30,25-34,Canada,Toronto,Mobile,Android,Edge,New,Direct,Toys,Free,Gold,90,5865.76
U000012,Male,30,25-34,United States,Seattle,Mobile,macOS,Safari,At Risk,Facebook,Beauty,Free,Gold,3,176.72
U000013,Male,45,45-54,Canada,Toronto,Desktop,Windows,Firefox,Premium,Facebook,Books,Premium,Silver,66,3200.27
U000014,Female,38,35-44,India,Delhi,Mobile,iOS,Safari,Premium,Paid Search,Toys,Free,Gold,6,150.18
U000015,Male,49,45-54,United Kingdom,Liverpool,Tablet,Android,Firefox,Premium,Instagram,Books,Free,Gold,39,1214.23
U000016,Male,31,25-34,Australia,Perth,Tablet,Windows,Chrome,At Risk,Email,Beauty,Premium,Bronze,12,885.55
U000017,Male,22,18-24,Australia,Brisbane,Tablet,Android,Chrome,Returning,Email,Toys,Premium,Gold,39,2530.88
U000018,Female,41,35-44,Canada,Toronto,Tablet,Windows,Edge,At Risk,Facebook,Home,Premium,Bronze,56,1608.54
U000019,Female,54,45-54,India,Kochi,Desktop,Windows,Edge,VIP,YouTube,Toys,Premium,Gold,25,1643.48
U000020,Male,31,25-34,United States,New York,Tablet,macOS,Firefox,Premium,Email,Sports,Premium,Bronze,21,1185.54
U000021,Male,28,25-34,United States,New York,Tablet,Android,Firefox,Returning,Facebook,Electronics,Free,Silver,69,2629.03
U000022,Female,52,45-54,India,Mumbai,Desktop,Windows,Firefox,Returning,YouTube,Sports,Premium,Bronze,84,3705.27
U000023,Female,58,55+,Singapore,Singapore,Mobile,iOS,Chrome,At Risk,Paid Search,Toys,Premium,Silver,46,1704.78
U000024,Female,46,45-54,United States,Los Angeles,Mobile,macOS,Edge,VIP,Instagram,Home,Premium,Bronze,35,1267.54
U000025,Male,49,45-54,United States,Seattle,Mobile,macOS,Edge,Premium,Organic Search,Sports,Free,Silver,24,1676.59
U000026,Female,43,35-44,Germany,Munich,Mobile,macOS,Safari,New,Direct,Electronics,Free,Platinum,9,296.04
U000027,Male,42,35-44,India,Mumbai,Mobile,Android,Chrome,Premium,Direct,Electronics,Free,Bronze,2,133.98
U000028,Male,52,45-54,Germany,Hamburg,Desktop,macOS,Edge,Premium,Instagram,Accessories,Free,Silver,91,2700.25
U000029,Male,21,18-24,Australia,Brisbane,Mobile,Windows,Firefox,New,YouTube,Home,Free,Silver,81,4446.8
U000030,Female,19,18-24,United States,Seattle,Mobile,macOS,Chrome,VIP,Direct,Fashion,Free,Bronze,50,1655.29
U000031,Female,36,35-44,United Kingdom,London,Mobile,Windows,Edge,Returning,YouTube,Books,Free,Platinum,79,3425.03
U000032,Female,27,25-34,Germany,Hamburg,Mobile,iOS,Safari,Premium,Facebook,Fashion,Free,Silver,80,5597.28
U000033,Female,59,55+,United States,Los Angeles,Mobile,Windows,Safari,Premium,Direct,Fashion,Premium,Silver,19,883.18
U000034,Female,29,25-34,Singapore,Singapore,Desktop,macOS,Firefox,Returning,Email,Toys,Premium,Platinum,46,1957.87
U000035,Male,52,45-54,Australia,Perth,Desktop,Windows,Safari,At Risk,Email,Fashion,Free,Gold,69,3759.93
U000036,Male,18,18-24,United States,New York,Mobile,Windows,Firefox,Premium,Direct,Sports,Premium,Silver,47,2618.4
U000037,Male,53,45-54,Canada,Vancouver,Tablet,Android,Chrome,Returning,YouTube,Electronics,Premium,Gold,27,1904.32
U000038,Female,21,18-24,Germany,Berlin,Tablet,Android,Chrome,Returning,Instagram,Home,Free,Silver,85,4844.01
U000039,Male,22,18-24,India,Chennai,Desktop,Android,Firefox,VIP,YouTube,Books,Premium,Bronze,54,1794.66
U000040,Male,36,35-44,India,Delhi,Tablet,Android,Edge,New,YouTube,Toys,Premium,Gold,8,587.71
U000041,Male,54,45-54,Australia,Brisbane,Desktop,Windows,Safari,Returning,Email,Toys,Free,Silver,91,3412.71
U000042,Female,43,35-44,United States,Austin,Desktop,iOS,Safari,VIP,Direct,Electronics,Premium,Platinum,78,5560.95
U000043,Female,30,25-34,United Kingdom,London,Mobile,Android,Firefox,Returning,Paid Search,Fashion,Free,Bronze,14,409.91
U000044,Male,37,35-44,United States,Austin,Mobile,iOS,Chrome,At Risk,Organic Search,Accessories,Free,Bronze,26,1562.9
U000045,Female,38,35-44,India,Bangalore,Desktop,Android,Firefox,VIP,Instagram,Home,Free,Gold,2,157.86
U000046,Male,44,35-44,Germany,Berlin,Mobile,macOS,Safari,At Risk,Organic Search,Sports,Free,Silver,65,4511.79
U000047,Male,61,55+,Canada,Toronto,Mobile,Android,Edge,At Risk,Instagram,Accessories,Free,Gold,81,2440.61
U000048,Female,36,35-44,United Kingdom,Birmingham,Mobile,Android,Chrome,Returning,Referral,Fashion,Free,Silver,6,443.92
U000049,Female,37,35-44,Australia,Sydney,Mobile,iOS,Edge,New,Facebook,Books,Premium,Bronze,64,1931.28
U000050,Female,22,18-24,United States,Seattle,Desktop,Android,Chrome,At Risk,Referral,Electronics,Premium,Gold,34,2694.09
U000051,Female,43,35-44,Canada,Vancouver,Desktop,Windows,Safari,At Risk,Referral,Sports,Free,Bronze,57,2574.71
U000052,Male,65,55+,Singapore,Singapore,Mobile,Windows,Firefox,VIP,Direct,Toys,Free,Silver,90,6315.11
U000053,Female,42,35-44,Singapore,Singapore,Desktop,macOS,Chrome,New,Direct,Fashion,Premium,Platinum,86,2592.27
U000054,Female,30,25-34,Canada,Montreal,Mobile,macOS,Chrome,Premium,Referral,Electronics,Free,Platinum,9,382.06
U000055,Female,27,25-34,Germany,Munich,Mobile,iOS,Safari,VIP,Email,Electronics,Free,Bronze,41,2306.31
U000056,Male,61,55+,Canada,Montreal,Mobile,Windows,Firefox,VIP,Paid Search,Sports,Premium,Platinum,33,1978.77
U000057,Male,51,45-54,United States,Los Angeles,Desktop,iOS,Firefox,Returning,Email,Books,Premium,Platinum,24,1696.32
U000058,Female,48,45-54,Australia,Melbourne,Mobile,Android,Chrome,At Risk,Direct,Books,Premium,Bronze,90,4412.08
U000059,Male,27,25-34,Canada,Vancouver,Tablet,macOS,Firefox,At Risk,Organic Search,Accessories,Free,Platinum,64,4642.34
U000060,Male,58,55+,Australia,Sydney,Desktop,Android,Safari,Returning,Instagram,Beauty,Free,Bronze,5,185.12
U000061,Female,41,35-44,Singapore,Singapore,Tablet,Windows,Safari,VIP,YouTube,Toys,Premium,Gold,3,124.82
U000062,Female,52,45-54,Canada,Montreal,Desktop,iOS,Edge,At Risk,Direct,Toys,Premium,Gold,15,1139.24
U000063,Male,60,55+,Germany,Frankfurt,Mobile,Windows,Chrome,New,YouTube,Fashion,Premium,Bronze,82,3327.45
U000064,Female,58,55+,Canada,Toronto,Mobile,Android,Safari,At Risk,YouTube,Fashion,Free,Platinum,86,3521.25
U000065,Female,25,25-34,United Kingdom,Birmingham,Mobile,iOS,Edge,At Risk,Facebook,Sports,Premium,Gold,53,3971.8
U000066,Female,44,35-44,Germany,Munich,Mobile,Windows,Chrome,Returning,Instagram,Books,Premium,Silver,1,74.51
U000067,Male,54,45-54,Canada,Vancouver,Tablet,macOS,Chrome,At Risk,YouTube,Home,Premium,Silver,72,5655.02
U000068,Male,43,35-44,United Kingdom,Manchester,Tablet,Windows,Safari,Premium,Direct,Books,Free,Bronze,56,2111.39
U000069,Male,23,18-24,India,Hyderabad,Mobile,Windows,Safari,New,Direct,Accessories,Premium,Silver,2,119.18
U000070,Male,33,25-34,Germany,Munich,Tablet,macOS,Firefox,New,Facebook,Fashion,Free,Bronze,39,1390.76
U000071,Male,58,55+,Australia,Sydney,Mobile,Android,Firefox,Premium,Direct,Fashion,Free,Platinum,15,753.78
U000072,Male,41,35-44,Singapore,Singapore,Desktop,Windows,Safari,New,Email,Toys,Premium,Gold,51,1557.38
U000073,Male,58,55+,Canada,Vancouver,Tablet,Windows,Chrome,Premium,Instagram,Accessories,Free,Silver,24,994.36
U000074,Male,51,45-54,Germany,Hamburg,Tablet,Windows,Edge,Returning,Instagram,Fashion,Free,Bronze,16,569.7
U000075,Male,38,35-44,United States,Chicago,Desktop,iOS,Safari,Returning,Paid Search,Books,Premium,Platinum,11,715.29
U000076,Female,65,55+,Singapore,Singapore,Mobile,iOS,Edge,Returning,Facebook,Toys,Free,Gold,56,2978.98
U000077,Female,28,25-34,Singapore,Singapore,Desktop,iOS,Firefox,At Risk,Paid Search,Toys,Premium,Silver,93,4820.26
U000078,Female,54,45-54,United Kingdom,Liverpool,Mobile,Windows,Firefox,At Risk,YouTube,Sports,Premium,Platinum,81,5675.17
